# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
225.000000	 51894.529196	 52152.810506	 42487.572222	 40966.846842	 38963.549578	 40223.728046	 62200.255528	 57364.673193	 51129.755041	 47609.483806	 46021.224241	 46948.754836	 
225.500000	 53556.319288	 51964.387495	 41796.156690	 40891.092300	 39182.195715	 40039.296493	 63660.941416	 57128.163677	 52543.255834	 47578.880036	 45762.918658	 46731.532397	 
226.000000	 54735.999409	 51759.905673	 43701.286192	 40824.450482	 38585.341382	 39858.371226	 64874.182359	 56880.795964	 54581.855549	 47550.874501	 46638.526763	 46518.907282	 
226.500000	 55950.749128	 51542.431095	 44886.064047	 40767.051690	 39270.929069	 39676.161243	 66794.000694	 56628.371616	 56562.817096	 47526.663413	 45909.368903	 46320.084384	 
227.000000	 56256.196576	 51323.622093	 44644.268690	 40730.079381	 39858.903457	 39502.289533	 68088.745628	 56399.573487	 57381.239201	 47521.819583	 45721.061446	 46174.513023	 
227.500000	 57057.683382	 51113.105970	 41917.628913	 40678.024702	 40533.827875	 39349.524701	 67198.438515	 56197.484048	 53775.174832	 47489.272639	 46291.279513	 46049.220909	 
228.000000	 57085.328989	 50917.379125	 41064.882392	 40621.439064	 41921.354113	 39214.259259	 67453.046804	 56001.772213	 52278.908842	 47445.771505	 48877.475430	 45936.889933	 
228.500000	 57302.265345	 50767.856992	 40223.676239	 40552.404666	 42158.467190	 39096.988868	 66475.748209	 55844.502629	 51367.174822	 47385.719612	 49033.169483	 45855.313931	 
229.000000	 59556.911859	 50653.439814	 42272.301340	 40497.762602	 43382.233529	 38991.083913	 68167.698273	 55698.901313	 51471.263245	 47325.777482	 50774.370124	 45786.071830	 
229.500000	 60268.399271	 50546.243496	 41006.149565	 40445.409125	 44558.296280	 38900.633419	 69639.435297	 55598.060786	 49832.209167	 47251.960050	 52835.104709	 45757.489212	 
230.000000	 60732.891619	 50480.451375	 39059.814013	 40379.574230	 46065.500996	 38835.394551	 70202.695414	 55567.683055	 46958.476351	 47170.671368	 56869.671699	 45780.574711	 
230.500000	 58813.896399	 50436.533792	 39195.279540	 40308.676543	 46779.761188	 38800.498116	 67668.118388	 55572.040098	 45215.197916	 47091.743196	 55411.156478	 45830.909605	 
231.000000	 57666.457347	 50505.020200	 38322.236315	 40235.546451	 46684.972187	 38813.046724	 66767.630298	 55650.989334	 44575.363052	 47011.749422	 56445.045082	 45865.723878	 
231.500000	 58780.242861	 50610.533434	 38759.103897	 40127.553937	 45127.712727	 38841.565148	 67446.049072	 55746.461406	 44904.139174	 46917.257145	 56082.233483	 45916.641896	 
232.000000	 58770.439623	 50727.196121	 39694.759510	 39970.081610	 43434.873115	 38880.197622	 66524.542342	 55850.429433	 45736.183724	 46754.987939	 54302.208070	 45969.692719	 
232.500000	 59966.290453	 50857.735335	 39063.647177	 39825.170260	 44293.691849	 38950.741311	 66259.652023	 56007.692280	 46036.252955	 46625.181848	 57706.831966	 46029.465568	 
233.000000	 60871.817447	 50924.126438	 44362.511281	 39689.934451	 46979.451847	 39068.985957	 68091.212657	 56130.037817	 50843.760596	 46497.869792	 58842.786226	 46154.097239	 
233.500000	 62698.233233	 50973.252748	 45415.084961	 39576.166459	 48972.520092	 39189.903286	 70550.121638	 56237.054553	 52439.202231	 46373.772077	 60688.245858	 46348.465113	 
234.000000	 63467.762305	 51017.788234	 48334.663207	 39455.635315	 48100.875876	 39292.191327	 70526.220178	 56363.598922	 55102.762289	 46246.664131	 61707.809705	 46556.858017	 
234.500000	 62058.212318	 51074.676632	 48702.783257	 39360.111875	 44996.931248	 39370.326679	 65935.825295	 56464.355133	 55148.834567	 46147.524942	 55711.850725	 46670.367432	 
